종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"114450","그린생명과학","1626","-13","-0.79",,,,,"1813","0.90","0","0.00"
"083420","그린케미칼","6080","-150","-2.41","144","42.22",,,"5160","1.18","230","3.78"
"186230","그린플러스","7390","-30","-0.40",,,,,"3940","1.88","0","0.00"
"014530","극동유화","3355","10","0.30","439","7.64",,,"6020","0.56","200","5.96"
"204620","글로벌텍스프리","4600","245","5.63",,,,,"1389","3.31","0","0.00"
"019660","글로본","850","-35","-3.95",,,,,"302","2.81","0","0.00"
"014280","금강공업","4005","0","0.00","1458","2.75",,,"14331","0.28","120","3.00"
"014285","금강공업우","6380","-40","-0.62",,,,,,,"130","2.04"
"053260","금강철강","4105","-35","-0.85","281","14.61",,,"7818","0.53","130","3.17"
"008870","금비","55900","-100","-0.18",,,,,"97823","0.57","1300","2.33"
"001570","금양","9900","-480","-4.62",,,,,"3377","2.93","0","0.00"
"282720","금양그린파워","8410","-150","-1.75","1695","4.96",,,"8935","0.94","300","3.57"
"002990","금호건설","2645","15","0.57","31","85.32","383","6.91","13006","0.20","0","0.00"
"002995","금호건설우","12300","-190","-1.52",,,,,,,"0","0.00"
"011780","금호석유","115700","1400","1.22","16727","6.92","13748","8.42","221466","0.52","2900","2.51"
"011785","금호석유우","52500","-500","-0.94",,,,,,,"2950","5.62"
"214330","금호에이치티","568","3","0.53",,,,,"1630","0.35","0","0.00"
"001210","금호전기","654","-30","-4.39",,,,,"574","1.14","0","0.00"
"073240","금호타이어","4950","60","1.23","549","9.02","1380","3.59","4401","1.12","0","0.00"
"036190","금화피에스시","25650","-250","-0.97","6435","3.99",,,"55933","0.46","1300","5.07"
"049080","기가레인","499","0","0.00",,,,,"651","0.77","0","0.00"
"420770","기가비스","29800","500","1.71","2752","10.83",,,"16773","1.78","800","2.68"
"035460","기산텔레콤","1979","0","0.00","223","8.87",,,"2664","0.74","0","0.00"
"092440","기신정기","2375","-10","-0.42","59","40.25",,,"8537","0.28","120","5.05"
"000270","기아","95700","-300","-0.31","22168","4.32","25788","3.71","117495","0.81","5600","5.85"
"024110","기업은행","15710","-70","-0.44","3162","4.97","3544","4.43","39698","0.40","984","6.26"
"013700","까뮤이앤씨","1199","-16","-1.32","58","20.67",,,"1908","0.63","20","1.67"
"308100","까스텔바작","2700","-5","-0.18",,,,,"8736","0.31","0","0.00"
"004540","깨끗한나라","2280","5","0.22",,,,,"5628","0.41","0","0.00"
"004545","깨끗한나라우","11900","10","0.08",,,,,,,"0","0.00"
"407400","꿈비","7740","-100","-1.28",,,,,"3025","2.56","0","0.00"
"187790","나노","1025","0","0.00",,,,,"269","3.81","0","0.00"
"286750","나노브릭","2565","-185","-6.73",,,,,"471","5.45","0","0.00"
"121600","나노신소재","69000","-1900","-2.68","1489","46.34",,,"19951","3.46","250","0.36"
"247660","나노씨엠에스","5950","220","3.84",,,,,"6279","0.95","0","0.00"
"039860","나노엔텍","3370","-20","-0.59",,,,,"1999","1.69","0","0.00"
"091970","나노캠텍","562","-7","-1.23",,,,,"884","0.64","0","0.00"
"417010","나노팀","6720","-30","-0.44","259","25.95",,,"2600","2.58","0","0.00"
"405920","나라셀라","2635","-35","-1.31",,,,,"5593","0.47","80","3.04"
"051490","나라엠앤디","4140","-175","-4.06","640","6.47",,,"7218","0.57","70","1.69"
"137080","나래나노텍","3090","-45","-1.44",,,,,"8459","0.37","0","0.00"
"190510","나무가","12690","-60","-0.47","1455","8.72",,,"9272","1.37","0","0.00"
"242040","나무기술","1375","-42","-2.96",,,,,"1216","1.13","0","0.00"
"089600","나스미디어","14280","-70","-0.49","1478","9.66","1961","7.28","18833","0.76","700","4.90"
"293580","나우IB","1092","1","0.09","21","52.00",,,"999","1.09","18","1.65"
"138610","나이벡","14520","-170","-1.16",,,,,"2846","5.10","0","0.00"
"130580","나이스디앤비","4725","-35","-0.74","674","7.01",,,"5889","0.80","182","3.85"
"036800","나이스정보통신","17810","0","0.00","3311","5.38","3728","4.78","36792","0.48","730","4.10"
"267320","나인테크","3730","15","0.40","217","17.19",,,"1758","2.12","0","0.00"
"001260","남광토건","7890","-140","-1.74","610","12.93",,,"11506","0.69","0","0.00"
"008350","남선알미늄","1397","9","0.65",,,,,"2343","0.60","0","0.00"
"008355","남선알미우","14500","150","1.05",,,,,,,"0","0.00"
"004270","남성","1080","-16","-1.46",,,,,"3455","0.31","0","0.00"
"003920","남양유업","71900","900","1.27",,,,,"77097","0.93","100","0.14"
"003925","남양유업우","37150","250","0.68",,,,,,,"105","0.28"
"025860","남해화학","6330","-70","-1.09","250","25.32",,,"10642","0.59","60","0.95"
"111710","남화산업","4980","60","1.22","858","5.80",,,"8729","0.57","200","4.02"
"091590","남화토건","3820","-20","-0.52",,,,,"13091","0.29","50","1.31"
"168330","내츄럴엔도텍","1411","3","0.21",,,,,"985","1.43","0","0.00"
"094860","네오리진","894","15","1.71",,,,,"1580","0.57","0","0.00"
"253590","네오셈","11170","0","0.00","219","51.00",,,"2101","5.32","30","0.27"
